date_key,full_date,year,quarter,month,month_name,day
617,2018-07-11,2018,3,7,July,11
618,2018-07-12,2018,3,7,July,12
619,2018-07-13,2018,3,7,July,13
620,2018-07-14,2018,3,7,July,14
621,2018-07-15,2018,3,7,July,15
622,2018-07-16,2018,3,7,July,16
623,2018-07-17,2018,3,7,July,17
624,2018-07-18,2018,3,7,July,18
625,2018-07-19,2018,3,7,July,19
626,2018-07-20,2018,3,7,July,20
627,2018-07-21,2018,3,7,July,21
628,2018-07-22,2018,3,7,July,22
629,2018-07-23,2018,3,7,July,23
630,2018-07-24,2018,3,7,July,24
631,2018-07-25,2018,3,7,July,25
632,2018-07-26,2018,3,7,July,26
633,2018-07-27,2018,3,7,July,27
634,2018-07-28,2018,3,7,July,28
635,2018-07-29,2018,3,7,July,29
636,2018-07-30,2018,3,7,July,30
637,2018-07-31,2018,3,7,July,31
638,2018-08-01,2018,3,8,August,1
639,2018-08-02,2018,3,8,August,2
640,2018-08-03,2018,3,8,August,3
641,2018-08-04,2018,3,8,August,4
642,2018-08-05,2018,3,8,August,5
643,2018-08-06,2018,3,8,August,6
644,2018-08-07,2018,3,8,August,7
645,2018-08-08,2018,3,8,August,8
646,2018-08-09,2018,3,8,August,9
647,2018-08-10,2018,3,8,August,10
648,2018-08-11,2018,3,8,August,11
649,2018-08-12,2018,3,8,August,12
650,2018-08-13,2018,3,8,August,13
651,2018-08-14,2018,3,8,August,14
652,2018-08-15,2018,3,8,August,15
653,2018-08-16,2018,3,8,August,16
654,2018-08-17,2018,3,8,August,17
655,2018-08-18,2018,3,8,August,18
656,2018-08-19,2018,3,8,August,19
657,2018-08-20,2018,3,8,August,20
658,2018-08-21,2018,3,8,August,21
659,2018-08-22,2018,3,8,August,22
660,2018-08-23,2018,3,8,August,23
661,2018-08-24,2018,3,8,August,24
662,2018-08-25,2018,3,8,August,25
663,2018-08-26,2018,3,8,August,26
664,2018-08-27,2018,3,8,August,27
665,2018-08-28,2018,3,8,August,28
666,2018-08-29,2018,3,8,August,29
667,2018-08-30,2018,3,8,August,30
668,2018-08-31,2018,3,8,August,31
669,2018-09-03,2018,3,9,September,3
670,2018-09-06,2018,3,9,September,6
671,2018-09-10,2018,3,9,September,10
672,2018-09-11,2018,3,9,September,11
673,2018-09-12,2018,3,9,September,12
674,2018-09-13,2018,3,9,September,13
675,2018-09-17,2018,3,9,September,17
676,2018-09-20,2018,3,9,September,20
677,2018-09-25,2018,3,9,September,25
678,2018-09-26,2018,3,9,September,26
679,2018-09-29,2018,3,9,September,29
680,2018-10-01,2018,4,10,October,1
681,2018-10-03,2018,4,10,October,3
682,2018-10-16,2018,4,10,October,16
683,2018-10-17,2018,4,10,October,17
